"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","get started link","firefox","2026-09-19","failed","2026-09-19","","example.spec.ts","",""
"","4","has title","firefox","2026-09-19","failed","2026-09-19","","example.spec.ts","",""
"","2368","rejects invalid credentials","firefox","2026-09-19","passed","2026-09-19","Authentication","e2e/01-auth.spec.ts","",""
"","1105","successfully logs in with valid credentials","chromium","2026-09-19","passed","2026-09-19","Authentication","e2e/01-auth.spec.ts","",""
"","3518","removes an item from the products page","firefox","2026-09-19","passed","2026-09-19","Inventory","e2e/02-inventory.spec.ts","",""
"","2290","get started link","chromium","2026-09-19","passed","2026-09-19","","example.spec.ts","",""
"","1142","completes the end-to-end checkout flow","chromium","2026-09-19","passed","2026-09-19","Checkout","e2e/03-checkout.spec.ts","",""
"","874","successfully logs in with valid credentials","chromium","2026-09-19","passed","2026-09-19","Login and cart functionality","e2e/loginAndCart.spec.ts","",""
"","1275","sorts products by price from low to high","chromium","2026-09-19","passed","2026-09-19","Inventory","e2e/02-inventory.spec.ts","",""
"","3475","successfully logs in with valid credentials","firefox","2026-09-19","passed","2026-09-19","Authentication","e2e/01-auth.spec.ts","",""
"","2414","has title","chromium","2026-09-19","passed","2026-09-19","","example.spec.ts","",""
"","1103","rejects invalid credentials","chromium","2026-09-19","passed","2026-09-19","Authentication","e2e/01-auth.spec.ts","",""
"","1684","successfully logs in with valid credentials","firefox","2026-09-19","passed","2026-09-19","Login and cart functionality","e2e/loginAndCart.spec.ts","",""
"","3314","adds multiple items and updates the cart badge","firefox","2026-09-19","passed","2026-09-19","Inventory","e2e/02-inventory.spec.ts","",""
"","1018","rejects a locked-out user","chromium","2026-09-19","passed","2026-09-19","Authentication","e2e/01-auth.spec.ts","",""
"","3382","sorts products by price from low to high","firefox","2026-09-19","passed","2026-09-19","Inventory","e2e/02-inventory.spec.ts","",""
"","1348","removes an item from the products page","chromium","2026-09-19","passed","2026-09-19","Inventory","e2e/02-inventory.spec.ts","",""
"","2277","rejects a locked-out user","firefox","2026-09-19","passed","2026-09-19","Authentication","e2e/01-auth.spec.ts","",""
"","2378","completes the end-to-end checkout flow","firefox","2026-09-19","passed","2026-09-19","Checkout","e2e/03-checkout.spec.ts","",""
"","1661","adds an item to the cart","firefox","2026-09-19","passed","2026-09-19","Login and cart functionality","e2e/loginAndCart.spec.ts","",""
"","979","adds an item to the cart","chromium","2026-09-19","passed","2026-09-19","Login and cart functionality","e2e/loginAndCart.spec.ts","",""
"","1196","adds multiple items and updates the cart badge","chromium","2026-09-19","passed","2026-09-19","Inventory","e2e/02-inventory.spec.ts","",""
